,count,mean,std,min,25%,50%,75%,max,missing,clickbait_count,clickbait_mean,clickbait_std,clickbait_min,clickbait_25%,clickbait_50%,clickbait_75%,clickbait_max,non_clickbait_count,non_clickbait_mean,non_clickbait_std,non_clickbait_min,non_clickbait_25%,non_clickbait_50%,non_clickbait_75%,non_clickbait_max
v_cnn_143,1556.0,0.14373743228319794,0.28553264847764787,0.0,0.0,0.0343885465,0.16594622,5.6882367,0,780.0,0.13896911288761024,0.2920069965645914,0.0,0.001225862925,0.0457710435,0.1664192175,5.6882367,776.0,0.14853033064474228,0.27897977541115204,0.0,0.0,0.024317968000000002,0.165695205,2.0788343
v_cnn_144,1556.0,0.14557611030714399,0.24103349649320632,0.0,0.00598467995,0.057156956,0.17557949250000002,2.7060716,0,780.0,0.13305519164104615,0.22953935543502557,0.0,0.004081107475,0.05217656,0.16586163,2.7060716,776.0,0.15816156979110826,0.2515799569928891,0.0,0.008506175,0.06566529,0.1883692575,2.073121
v_cnn_145,1556.0,0.070169754126455,0.15886948508374038,0.0,0.0,0.010802625,0.07356542499999999,2.422845,0,780.0,0.07490259399399231,0.14535521813436017,0.0,0.0,0.016455161500000003,0.088915448,1.3590041,776.0,0.06541251817712629,0.1713460517993667,0.0,0.0,0.0060067078,0.0645424275,2.422845
v_cnn_146,1556.0,0.031964364287612276,0.11016454754958713,0.0,0.0,0.0,0.01810816425,2.333506,0,780.0,0.03992963176284577,0.12657717885463085,0.0,0.0,0.00142238415,0.02733407425,2.333506,776.0,0.023958038732609533,0.09010127228670177,0.0,0.0,0.0,0.010590151249999999,1.5174564
v_cnn_147,1556.0,0.11013928469517353,0.2337261705276068,0.0,0.0,0.020425857,0.1238040475,2.9716237,0,780.0,0.13716796441082052,0.28404277247448856,0.0,0.0,0.033325756,0.1496511575,2.9716237,776.0,0.08297128188820876,0.1644300983624454,0.0,0.0,0.0106978465,0.0939532675,1.5038091
v_cnn_148,1556.0,0.024015015368859898,0.1101992543265127,0.0,0.0,0.0,0.00940008675,2.5340097,0,780.0,0.024709610899264108,0.11127497591447105,0.0,0.0,0.0,0.0094456465,2.2350686,776.0,0.02331683944912371,0.10917461818868553,0.0,0.0,0.0,0.009045939875,2.5340097
v_cnn_149,1556.0,0.027221641435330974,0.060112297009925805,0.0,0.0,0.0,0.024539700749999997,0.58020127,0,780.0,0.029791805579308973,0.06042470478461634,0.0,0.0,0.0,0.03239791575,0.46190807,776.0,0.024638229022569583,0.059724105442382665,0.0,0.0,0.0,0.01737176775,0.58020127
v_cnn_150,1556.0,0.040960849537669985,0.12267613682767886,0.0,0.0,0.0,0.027902929,2.4132566,0,780.0,0.050746314887057054,0.11921546940761658,0.0,0.0,0.00109506935,0.045266706000000004,1.3055339,776.0,0.031124943645244846,0.1253676080044424,0.0,0.0,0.0,0.0098833205,2.4132566
v_cnn_151,1556.0,0.071779074092,0.14914357553691066,0.0,0.0,0.016682578,0.081813995,1.9139236,0,780.0,0.0659387276891923,0.12295529428072599,0.0,0.0,0.016263166500000002,0.079210715,1.0960336,776.0,0.07764952537317268,0.1713658411093533,0.0,0.0,0.018069917,0.08472993000000001,1.9139236
v_cnn_152,1556.0,0.03906491581079004,0.09097018104432478,0.0,0.0,0.007042031000000001,0.04266112125,1.4383816,0,780.0,0.034629001619563206,0.0744047620409712,0.0,0.0,0.00584680185,0.039102438749999996,0.98166144,776.0,0.04352369553908506,0.10488177130101148,0.0,0.0,0.0087937385,0.04605471125,1.4383816
v_cnn_153,1556.0,0.12081302633577505,0.20756843860707214,0.0,0.00106638795,0.040521222499999995,0.1479636575,2.0875497,0,780.0,0.08028669357217436,0.1519438305220381,0.0,0.0,0.025158067,0.09892667699999999,2.017503,776.0,0.16154825772186857,0.2447993323386428,0.0,0.005334304975000001,0.060644921000000004,0.2049755775,2.0875497
v_cnn_154,1556.0,0.21302121812280334,0.3223024931219294,0.0,0.015285909,0.10072903799999999,0.28109684,4.597163,0,780.0,0.19833183290697692,0.26260902392523405,0.0,0.02228561775,0.1039917025,0.279994325,2.313211,776.0,0.2277863218191237,0.37238834668408466,0.0,0.009741061875,0.097885875,0.28475785,4.597163
v_cnn_155,1556.0,0.022628585464374032,0.08569821060322662,0.0,0.0,0.0,0.01188967,2.0777972,0,780.0,0.02932291219282051,0.10877975500385519,0.0,0.0,0.0,0.021097532999999998,2.0777972,776.0,0.015899751897121134,0.05245189076029444,0.0,0.0,0.0,0.00633332085,0.70439714
v_cnn_156,1556.0,0.5813518225419215,0.8868597714081866,0.0,0.01700506425,0.16851459,0.782882885,5.5131974,0,780.0,0.5750348347748333,0.7821522513843929,0.0,0.035894433999999996,0.21956188,0.8408013575,4.56722,776.0,0.5877013721016238,0.9813840611812462,0.0,0.0049616671,0.11133003250000001,0.70749866,5.5131974
v_cnn_157,1556.0,0.021084336352249745,0.08234491074691867,0.0,0.0,0.0,0.011255460500000002,1.7872767,0,780.0,0.026465092192855894,0.10224191259109644,0.0,0.0,0.0,0.01275624725,1.7872767,776.0,0.015675844656795102,0.05513006787878709,0.0,0.0,0.0,0.008889063375,0.96089303
