video_id,clip_similarity,label
MLziFdIHp2U,0.3620726764202118,1
dTnzxIJMWu4,0.32659417390823364,1
ysAcIS4eiZo,0.3543804883956909,1
clLom3M4hnQ,0.2647413909435272,1
V8aSo2sQ13E,0.3076470196247101,1
3awRSNFHV1s,0.338485449552536,1
8vXabW4z3yY,0.28651779890060425,1
JCAzRtrM4dE,0.22135300934314728,1
4988AkcIooE,0.25596287846565247,1
i96Tc2HjSXU,0.32741352915763855,1
ErXhQGf4ijU,0.3640696108341217,1
J-x4ia69YEQ,0.2854052782058716,1
L_q-2Ov2Gnw,0.3043660819530487,1
Tw8fBZt66P0,0.32965898513793945,1
YaY5V9TCO0A,0.26628217101097107,1
ut-1yFa6WYo,0.2959057092666626,1
Fonk0QN6JSw,0.3170875608921051,1
hivKxdUky0I,0.3228636682033539,1
2jb1CBqFE1A,0.38124626874923706,1
PxY5bAB9-gk,0.30776625871658325,1
qQ6YsKRX6cE,0.3451072871685028,1
L85TZYbbqJE,0.31193339824676514,1
MY46FJ-6OIU,0.33514443039894104,1
VAU3omfnemA,0.3114674389362335,1
K-vFXJfCes8,0.3430306911468506,1
gS8vaaq99sU,0.26590612530708313,1
uBg_ssHE05M,0.3579545021057129,1
Va82x6Rl0UE,0.33852148056030273,1
5iGwuh0MoRc,0.3392386734485626,1
7imL79i3xGg,0.38312622904777527,1
xlPQvVJf6tM,0.28799867630004883,1
I9FmEwJocRw,0.3193405568599701,1
ucYapk8sf-o,0.30419448018074036,1
dsx_-cG4QAo,0.2919379770755768,1
Evy4iMkIBek,0.3298857808113098,1
7tiWinlNTvU,0.2859921157360077,1
JajSdaNFfic,0.30217888951301575,1
qMpUX0q64J4,0.2870903015136719,1
Lt_AZDkzbxc,0.32917726039886475,1
cEW9FN8ku3k,0.26823827624320984,1
HQigNm2tPNU,0.25889521837234497,1
4N_ZVPVLlc0,0.2802194356918335,1
o7qPt6O_CXM,0.3049914538860321,1
yhEovTipDDI,0.2998462915420532,1
AHUA01NAlVQ,0.2859518826007843,1
nhFkzrA05-w,0.2880234718322754,1
CLuxJFKTn28,0.30279341340065,1
d2vPntIrut8,0.2694450914859772,1
0MsORGZfeK0,0.24555537104606628,1
lQ9PhJWeBGs,0.31138885021209717,1
oVQ3YyvtNOA,0.26566749811172485,1
_mvPu1URo0A,0.28547918796539307,1
OTO52ioghfA,0.2145458459854126,1
lrh_p4Xfbpk,0.2926875352859497,1
ZmcaOfjLauI,0.24109318852424622,1
pTKWuGTkISc,0.26355379819869995,1
7PCgHh4tCow,0.2722375988960266,1
BVR97GfGVCc,0.2821924090385437,1
AVgcrgEgG5U,0.2730531692504883,1
3ujQVQxpYKA,0.25262969732284546,1
eYASKzbw-9A,0.23702959716320038,1
xH00dGYaxZk,0.32690444588661194,1
ZY6MjMNdCTw,0.3045021891593933,1
SMWvTzie_DA,0.3055565357208252,1
BRu17osgEoo,0.25276443362236023,1
tYeuSU2m4DQ,0.2407873570919037,1
2rtHT0jlT2M,0.30117812752723694,1
ZNIECWN-_gE,0.2813623547554016,1
PYpkOI2W_kE,0.2685959041118622,1
PKtNvlRDq6U,0.25453126430511475,1
X70IFsHWclU,0.2868398427963257,1
aBg_TatKt5g,0.23589037358760834,1
0GTiwWHYMlQ,0.25780192017555237,1
yL7rpPPXTSI,0.2639876902103424,1
Jeb0d18y08M,0.28810742497444153,1
By336LXE41g,0.22365623712539673,1
SYdXwo-Oq0E,0.2845657765865326,1
wvDgf34smJA,0.25059929490089417,1
ctn_4QKc6g0,0.27700167894363403,1
QPC2hMWY7BA,0.21008789539337158,1
omVMxK9wN_I,0.2500218152999878,1
gmlxelUTGfo,0.2126525640487671,1
o6DDXrPZqi8,0.2486627697944641,1
5teThcYJ7w4,0.22699561715126038,1
TMB7TC4kyNk,0.18101251125335693,1
Wy2z77VxUY0,0.17770323157310486,1
Bf6I34Mzpio,0.2133575677871704,1
8KzqSSwQ2cw,0.23994238674640656,1
pT30yCDx760,0.18114449083805084,1
TR85vVWguxs,0.2637719511985779,1
Ba6-6KmB3CQ,0.3034323751926422,1
FmKpjhi6ZYQ,0.2847181558609009,1
RgOA37xgYcc,0.27966007590293884,1
JMAnkCd3PAY,0.3039811849594116,1
WLuRkeo_9vM,0.3270295262336731,1
DCDfvNPbAeg,0.2990477681159973,1
yZirLwxPK-I,0.3298466205596924,1
bbla8uN33R0,0.3163626194000244,1
iKz0atbJ86o,0.31166744232177734,1
Vvbh6vlkIa0,0.33957841992378235,1
UwQtaXpeqS8,0.30220165848731995,1
olN3WXK9iaA,0.3102579116821289,1
sT9n7awOQPw,0.2921539545059204,1
j8kpcFHY_VU,0.2893369793891907,1
EraHxd4612o,0.20876885950565338,1
SETOIlJhIWk,0.2698913514614105,1
7JRQ4l7eXVw,0.2924611568450928,1
F26ZYA4_CwU,0.20756977796554565,1
VtiviDjIOVM,0.22344465553760529,1
pf9agV_I0m4,0.2131451517343521,1
O_DWucZwtfA,0.23905958235263824,1
iHKLCzLYt-Q,0.29511573910713196,1
ItoSYiCOzFg,0.25936731696128845,1
gGwd5mBTruU,0.26962941884994507,1
VquZwveRmrY,0.24950817227363586,1
JXV8EzW0pwU,0.2873891294002533,1
7H86fq4ZEPw,0.281381219625473,1
w6JNfm1ALw4,0.25550323724746704,1
sSuLkeK0Cv0,0.2520953118801117,1
PviCek989QE,0.28467848896980286,1
